"Quarry","Species","Forest","perc.dam_scale","perc.spec_scale","perc.gall_scale","perc.mine_scale","perc.area.dam..mean._scale","wt.perc_C_scale","wt.perc_N_scale","perc.P_scale","trichomes..cm.2._scale","perc.water_scale","div.dam_scale","div.spec_scale","div.gall_scale","div.mine_scale","CN_scale","LMA_scale","trichomes_scale","margin_type_scale"
"MD1901","Acer rubrum","SERC",-0.641918494291185,-0.838454621303217,-0.546387489162646,-0.579509267472674,1.68002806063303,-1.53270522039097,-1.35129089722944,-0.270494413562921,-0.882837183977658,0.888006634754214,-0.0941241798955571,0.0733615457876652,-0.267407367835707,-0.502359391200966,0.183331107956221,-0.401824575023595,0.68812318193294,0.774900016294131
"MD1901","Fagus grandifolia","SERC",0.215541704906864,-0.290145342557423,-0.788681412685417,-0.750368383669059,0.166314433171134,-2.84328683586871,-1.98098564782754,-0.491306179736734,-0.475434696267813,-0.0929968634097645,0.218047369065106,0.00927844171007568,-0.801620512128413,-1.17730851189429,-0.700455491534293,-1.24151195086491,0.68812318193294,0.774900016294131
"MD1901","Quercus alba","SERC",0.720533798997156,0.735425089705136,-0.510016198456358,-0.542896606251666,-0.821092609973243,-0.0930022634868383,-0.721596146631336,0.115926177241252,1.42290221301862,-1.30989484436924,0.789254884184616,0.901864534219361,-0.111595200750334,-0.292375220318599,0.976472928011811,-0.383493371748186,-1.43358996236029,-1.27305002676893
"MD1901","Quercus falcata","SERC",0.305900112393868,0.472527967492356,-0.447434018762696,-0.750368383669059,-0.620816653109053,-0.628855830406312,-0.973474046870576,0.745239710836619,-0.830264669898928,0.652112151958714,0.271182951866921,0.485324357715028,-0.167242403280825,-1.17730851189429,0.795183369141962,-0.529551668813542,0.68812318193294,-1.27305002676893
"MD1902","Acer rubrum","SERC",-0.771206609320432,-0.892105723325341,-0.293630159182155,-0.461284481085336,-0.304101186440102,-0.570751226764441,0.285915454325623,-0.270494413562921,-0.882837183977658,0.888006634754214,-0.127333919146692,-0.306559714100902,0.144381930889921,-0.0823910494362321,-0.874191318784564,-1.23441600120992,0.68812318193294,0.774900016294131
"MD1902","Fagus grandifolia","SERC",-0.388462517089413,-0.744336346116125,-0.867986264773297,-0.750368383669059,0.646045213566752,-0.20275540369926,-0.217840346152856,-0.491306179736734,-0.475434696267813,-0.0929968634097645,-0.229177119516837,-0.55373740125732,-1.19115092984184,-1.17730851189429,-0.141479351685591,-0.702811106223053,0.68812318193294,0.774900016294131
"MD1902","Platanus occidentalis","SERC",-1.53356569167633,-1.54931066685834,-0.867986264773297,-0.750368383669059,-0.99342308448429,-0.415805617052786,0.285915454325623,0.391940884958518,-0.885251931999647,1.54352111098402,-1.29188877555314,-1.47378768122843,-1.19115092984184,-1.17730851189429,-0.843976392306256,0.475116536506457,-1.43358996236029,0.774900016294131
"MD1902","Quercus alba","SERC",0.749834059887907,0.66748841362493,-0.473447560805145,-0.226341720039723,NA,-0.977483452257536,0.0340375540863837,0.115926177241252,1.42290221301862,-1.30989484436924,0.48372528307418,0.956792909143009,0.500524027085058,1.02752528237056,-1.01771221955653,NA,-1.43358996236029,-1.27305002676893
"MD1903","Fagus grandifolia","SERC",-0.333755161352089,-0.629236761217152,-0.785150216316663,-0.750368383669059,-0.504377143304292,0.132960084009325,-0.343779296272476,-0.491306179736734,-0.475434696267813,-0.0929968634097645,-0.182683484565249,-0.215012422561488,-0.801620512128413,-1.17730851189429,0.357066935206493,-0.75780471604928,0.68812318193294,0.774900016294131
"MD1903","Quercus alba","SERC",0.892935571151597,1.5308168995348,-0.635198831890134,2.36625149504772,-0.863010833502957,0.455763437575273,-0.469718246392096,0.115926177241252,1.42290221301862,-1.30989484436924,0.410663856721685,0.993411825758774,-0.234019046317413,1.23750945325293,0.893381880196463,-0.251626973992824,-0.372733390213676,-1.27305002676893
"MD1903","Quercus falcata","SERC",0.442244892216987,0.330439007796033,-0.682722240551401,-0.244171676563152,-1.45918112370334,0.391202766862084,-0.595657196511716,0.745239710836619,-0.830264669898928,0.652112151958714,0.51250705709183,1.03918547152848,-0.311925129860099,0.0375999053536919,1.1124400971642,-0.468053438470234,0.68812318193294,-1.27305002676893
"MD1903","Quercus montana","SERC",0.499395831101283,0.950390690271979,-0.745325194614799,1.09293858257024,-0.49040440212772,0.843127461854411,-0.595657196511716,-1.92658265986652,0.0461508764817925,0.894811283296392,0.826892588669235,1.2863631586849,-0.623549464030844,1.64247892566892,1.5732177259584,-0.696897814843889,0.68812318193294,-1.27305002676893
